Client_Type,Country,MenuVisited_Sessions,ProductCardOpened_Sessions,AddedToCart_Sessions,CartVisited_Sessions,CheckoutVisited_Sessions,OrderCreated_Sessions,MenuVisited_Conversion,ProductCardOpened_Conversion,AddedToCart_Conversion,CartVisited_Conversion,CheckoutVisited_Conversion,OrderCreated_Conversion,Menu__ProductCard_Conversion,ProductCard__AddToCart_Conversion,AddToCart__Cart_Conversion,Cart__Checkout_Conversion,Checkout__CreateOrder_Conversion
old,RU,15247915,9030954,7265199,7126034,5017052,4136394,100.0,59.22746814892397,47.64716356301829,46.73448140286721,32.903200208028444,27.127604003563764,59.22746814892397,80.44774671645986,98.08449844250653,70.40454760670521,82.44670376149182
old,KG,100105,52189,42743,41709,31285,25490,100.0,52.13425902802058,42.69816692472904,41.66525148593976,31.25218520553419,25.463263573248092,52.13425902802058,81.90040046753147,97.58089043820041,75.00779208324343,81.47674604443024
old,BY,435651,244127,186302,183655,110490,84006,100.0,56.03728672721972,42.76404736819151,42.15645092057633,25.362044388742365,19.28286633107694,56.03728672721972,76.31355810705084,98.57918862921493,60.16171626146851,76.03040999185447
old,KZ,994594,562643,463537,455880,312779,226153,100.0,56.570118058222754,46.60565014468215,45.83578827139516,31.44790738733594,22.738222832633216,56.570118058222754,82.38563351894541,98.34813617898894,68.60994121259981,72.30440662576451
old,TJ,13552,7523,5978,5868,4365,3590,100.0,55.51210153482881,44.111570247933884,43.29988193624557,32.20926800472255,26.490554899645808,55.51210153482881,79.4629801940715,98.15991970558716,74.38650306748467,82.2451317296678
new,KG,407,145,86,79,39,27,100.0,35.62653562653563,21.13022113022113,19.41031941031941,9.582309582309582,6.6339066339066335,35.62653562653563,59.310344827586206,91.86046511627907,49.36708860759494,69.23076923076923
new,KZ,6372,2912,1951,1881,1057,667,100.0,45.699937225360955,30.618330194601377,29.51977401129944,16.588198367859384,10.4676710608914,45.699937225360955,66.99862637362637,96.4120963608406,56.19351408825093,63.1031220435194
new,RU,72984,36092,19870,18556,9875,6315,100.0,49.45193467061274,27.225145237312287,25.424750630275128,13.530362819248055,8.652581387701414,49.45193467061274,55.053751523883406,93.38701560140916,53.21728820866566,63.9493670886076
old,SI,4301,2716,2204,2177,1639,1342,100.0,63.1481050918391,51.243896768193444,50.61613578237619,38.107416879795394,31.202046035805626,63.1481050918391,81.14874815905743,98.77495462794919,75.28709232889297,81.87919463087249
old,NG,22066,12574,9727,9552,6372,4617,100.0,56.983594670533854,44.08139218707514,43.28831686757908,28.87700534759358,20.923592857790265,56.983594670533854,77.3580404008271,98.20088413693841,66.70854271356784,72.45762711864407
old,LT,31222,20394,16265,16080,12551,10258,100.0,65.31932611620012,52.09467683044008,51.50214592274678,40.1992184997758,32.85503811415028,65.31932611620012,79.7538491713249,98.86258837995696,78.05348258706468,81.73053939925106
new,SI,47,20,17,15,8,4,100.0,42.5531914893617,36.17021276595745,31.914893617021278,17.02127659574468,8.51063829787234,42.5531914893617,85.0,88.23529411764706,53.333333333333336,50.0
new,EE,235,103,59,56,39,32,100.0,43.829787234042556,25.106382978723403,23.829787234042556,16.595744680851062,13.617021276595745,43.829787234042556,57.28155339805825,94.91525423728814,69.64285714285714,82.05128205128204
new,BY,4189,1822,953,916,462,264,100.0,43.49486751014562,22.75005968011459,21.866793984244453,11.028885175459537,6.302220100262593,43.49486751014562,52.305159165751924,96.11752360965372,50.43668122270743,57.14285714285714
old,PL,7180,4442,3566,3533,2527,1976,100.0,61.86629526462396,49.66573816155989,49.20612813370474,35.194986072423404,27.520891364902507,61.86629526462396,80.27915353444395,99.07459338194055,71.52561562411547,78.19548872180451
old,RO,41167,25451,20666,20429,14888,12396,100.0,61.823790900478535,50.20040323560133,49.6246993951466,36.164889353122646,30.111497072898196,61.823790900478535,81.19916702683588,98.85318881254234,72.87679279455675,83.26168726491133
old,EE,48516,30380,22526,22301,16713,13836,100.0,62.61851760244043,46.43004369692473,45.96627916563608,34.44842938412071,28.51842691070987,62.61851760244043,74.14746543778801,99.00115422178816,74.94282767588898,82.78585532220427
old,UZ,28430,16111,12306,12083,9175,7577,100.0,56.66901160745691,43.28526204713331,42.500879352796346,32.272247625747454,26.651424551530074,56.66901160745691,76.3825957420396,98.18787583292703,75.93312918977075,82.58310626702998
old,GB,2862,1698,1213,1183,881,682,100.0,59.329140461215935,42.382948986722575,41.334730957372464,30.782669461914747,23.829489867225718,59.329140461215935,71.43698468786808,97.5267930750206,74.47168216398985,77.41203178206584
old,VN,6006,3632,2952,2889,1623,1026,100.0,60.47286047286047,49.150849150849155,48.1018981018981,27.022977022977024,17.08291708291708,60.47286047286047,81.27753303964758,97.86585365853658,56.178608515057114,63.21626617375231
new,UZ,331,115,56,53,29,19,100.0,34.74320241691843,16.91842900302115,16.012084592145015,8.761329305135952,5.740181268882175,34.74320241691843,48.69565217391305,94.64285714285714,54.71698113207547,65.51724137931035
old,AE,3451,1856,1231,1201,809,668,100.0,53.78151260504202,35.670820052158795,34.8015068096204,23.442480440452044,19.356708200521588,53.78151260504202,66.32543103448276,97.56295694557271,67.36053288925895,82.57107540173052
new,NG,354,106,61,60,31,17,100.0,29.943502824858758,17.231638418079097,16.94915254237288,8.757062146892656,4.80225988700565,29.943502824858758,57.54716981132076,98.36065573770492,51.66666666666667,54.83870967741935
old,,125181,3,3,3,3,3,100.0,0.00239652982481367,0.00239652982481367,0.00239652982481367,0.00239652982481367,0.00239652982481367,0.00239652982481367,100.0,100.0,100.0,100.0
old,DE,1511,819,478,462,296,235,100.0,54.20251489080079,31.634679020516216,30.57577763070814,19.589675711449374,15.552614162806089,54.20251489080079,58.36385836385837,96.65271966527197,64.06926406926407,79.3918918918919
new,RO,279,127,81,76,46,30,100.0,45.51971326164875,29.03225806451613,27.24014336917563,16.48745519713262,10.75268817204301,45.51971326164875,63.77952755905512,93.82716049382715,60.526315789473685,65.21739130434783
new,TJ,129,40,27,24,12,8,100.0,31.007751937984494,20.930232558139537,18.6046511627907,9.30232558139535,6.2015503875969,31.007751937984494,67.5,88.88888888888889,50.0,66.66666666666666
new,PL,65,25,17,17,9,3,100.0,38.46153846153847,26.153846153846157,26.153846153846157,13.846153846153847,4.615384615384616,38.46153846153847,68.0,100.0,52.94117647058824,33.33333333333333
new,LT,185,88,54,54,30,20,100.0,47.56756756756757,29.18918918918919,29.18918918918919,16.216216216216218,10.81081081081081,47.56756756756757,61.36363636363637,100.0,55.55555555555556,66.66666666666666
new,VN,73,27,18,16,6,5,100.0,36.986301369863014,24.65753424657534,21.91780821917808,8.21917808219178,6.8493150684931505,36.986301369863014,66.66666666666666,88.88888888888889,37.5,83.33333333333334
new,AE,57,16,8,7,4,3,100.0,28.07017543859649,14.035087719298245,12.280701754385964,7.017543859649122,5.263157894736842,28.07017543859649,50.0,87.5,57.14285714285714,75.0
new,GB,101,18,8,7,4,1,100.0,17.82178217821782,7.920792079207921,6.9306930693069315,3.9603960396039604,0.9900990099009901,17.82178217821782,44.44444444444444,87.5,57.14285714285714,25.0
old,AM,18,5,2,2,0,0,100.0,27.77777777777778,11.11111111111111,11.11111111111111,0.0,0.0,27.77777777777778,40.0,100.0,0.0,NaN
old,ru-RU,15,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
new,DE,43,10,5,5,1,1,100.0,23.25581395348837,11.627906976744185,11.627906976744185,2.3255813953488373,2.3255813953488373,23.25581395348837,50.0,100.0,20.0,100.0
old,CY,3,1,1,1,0,0,100.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,100.0,100.0,0.0,NaN
old,HR,1,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
old,TR,8,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
old,BG,1,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
old,RS,1,1,1,1,0,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,NaN
